Treatment,Replicate,Value
zoospore_only,1,0.224897169409402
zoospore_only,2,0.188832796196605
zoospore_only,3,0.273728400468822
zoospore_only,4,0.260835247816812
water_leaf,1,229.656146418861
water_leaf,2,133.434499090114
water_leaf,3,166.309653088192
water_leaf,4,265.819592198274
zoospore_leaf,1,740.794131574124
zoospore_leaf,2,996.346654291958
zoospore_leaf,3,724.963573817908
zoospore_leaf,4,1041.21584274433
