Library_ID	Genotype	Gen_Group	Phenotype	Serial_Number	Bench_Position	Bench	Treatment	Leaf1_Stage	Leaf2_Stage	Inoc_Time	Worker	Date_Time	Inoc_temp_C	Inoc_RH_perc	Inoc_light_lux	Collect_temp_C	Collect_RH_perc	Collect_light_lux
GU257E_025_1A62_S6	GU 257E	Guiana	R	25	1-A-6-2	1A	treatment	E	E	06/24/20 09:52:00 PM	NPW	06/25/20 06:13:00 AM	26.451	69.463	19.7	27.038	66.556	185.3
GU257E_050_1B54_S14	GU 257E	Guiana	R	50	1-B-5-4	1B	control	E	E	06/24/20 11:05:00 PM	NPW	06/25/20 07:30:00 AM	26.109	79.291	11.8	26.622	73.602	784.4
GU257E_063_1C22_S11	GU 257E	Guiana	R	63	1-C-2-2	1C	treatment	DE	DE	06/24/20 11:50:00 PM	NPW	06/25/20 08:47:00 AM	24.992	82.159	NA	26.28	79.018	NA
GU257E_104_2A45_S32	GU 257E	Guiana	R	104	2-A-4-5	2A	control	DE	DE	06/24/20 09:42:00 PM	MGP	06/25/20 05:59:00 AM	25.477	78.428	11.8	25.623	77.079	59.1
GU257E_112_2A64_S24	GU 257E	Guiana	R	112	2-A-6-4	2A	control	E	E	06/24/20 10:02:00 PM	MGP	06/25/20 06:27:00 AM	25.428	77.725	11.8	25.841	77.128	193.2
GU257E_133_2B52_S28	GU 257E	Guiana	R	133	2-B-5-2	2B	treatment	E	E	06/24/20 11:00:00 PM	MGP	06/25/20 07:24:00 AM	26.134	77.499	3.9	27.014	70.323	981.5
GU257E_150_2C24_S29	GU 257E	Guiana	R	150	2-C-2-4	2C	control	E	E	06/24/20 11:55:00 PM	MGP	06/25/20 08:51:00 AM	24.798	83.45	3.9	28.444	71.462	1809.3
ICS1_012_1A32_S10	ICS 1	Hybrid	S	12	1-A-3-2	1A	treatment	D	D	06/24/20 09:22:00 PM	NPW	06/25/20 05:31:00 AM	26.94	70.39	11.8	26.94	74.871	11.8
ICS1_014_1A35_S12	ICS 1	Hybrid	S	14	1-A-3-5	1A	treatment	E	E	06/24/20 09:27:00 PM	NPW	06/25/20 05:38:00 AM	26.916	71.057	11.8	26.916	71.314	11.8
ICS1_023_1A55_S4	ICS 1	Hybrid	S	23	1-A-5-5	1A	treatment	E	E	06/24/20 09:47:00 PM	NPW	06/25/20 06:06:00 AM	26.5	70.34	11.8	26.94	67.642	122.2
ICS1_042_1B41_S6	ICS 1	Hybrid	S	42	1-B-4-1	1B	control	DE	DE	06/24/20 10:45:00 PM	NPW	06/25/20 07:08:00 AM	26.402	79.503	11.8	27.063	75.075	634.6
ICS1_058_1C12_S6	ICS 1	Hybrid	S	58	1-C-1-2	1C	treatment	E	E	06/24/20 11:37:00 PM	NPW	06/25/20 08:37:00 AM	24.944	82.177	NA	25.939	79.756	NA
ICS1_095_2A31_S25	ICS 1	Hybrid	S	95	2-A-3-1	2A	control	DE	DE	06/24/20 09:20:00 PM	MGP	06/25/20 05:28:00 AM	25.623	77.123	11.8	25.55	76.527	11.8
ICS1_098_2A34_S27	ICS 1	Hybrid	S	98	2-A-3-4	2A	control	DE	E	06/24/20 09:27:00 PM	MGP	06/25/20 05:38:00 AM	25.598	77.871	484.9	25.55	76.919	19.7
ICS1_105_2A51_S18	ICS 1	Hybrid	S	105	2-A-5-1	2A	control	E	E	06/24/20 09:45:00 PM	MGP	06/25/20 06:03:00 AM	25.404	78.355	11.8	25.574	77.001	74.9
ICS1_131_2B45_S26	ICS 1	Hybrid	S	131	2-B-4-5	2B	treatment	E	E	06/24/20 10:55:00 PM	MGP	06/25/20 07:19:00 AM	26.134	75.714	11.8	26.891	67.798	918.5
ICS1_145_2C14_S24	ICS 1	Hybrid	S	145	2-C-1-4	2C	control	E	E	06/24/20 11:42:00 PM	MGP	06/25/20 08:41:00 AM	24.798	82.969	3.9	27.998	74.416	1699
ICS1_164_2C53_S27	ICS 1	Hybrid	S	164	2-C-5-3	2C	control	DE	DE	06/25/20 12:27:00 AM	MGP	06/25/20 09:17:00 AM	24.75	84.202	11.8	28.891	69.194	1620.1
IMC105_044_1B43_S8	IMC 105	Iquitos	S	44	1-B-4-3	1B	control	E	E	06/24/20 10:50:00 PM	NPW	06/25/20 07:13:00 AM	26.256	79.935	11.8	27.063	75.996	674.1
IMC31_051_1B55_S15	IMC 31	Iquitos	S	51	1-B-5-5	1B	control	DE	DE	06/24/20 11:07:00 PM	NPW	06/25/20 07:32:00 AM	26.109	79.53	11.8	26.5	72.339	800.2
IMC31_080_1C55_S11	IMC 31	Iquitos	S	80	1-C-5-5	1C	treatment	E	E	06/25/20 12:30:00 AM	NPW	06/25/20 09:19:00 AM	24.798	83.139	NA	26.598	79.402	NA
IMC31_132_2B51_S27	IMC 31	Iquitos	S	132	2-B-5-1	2B	treatment	E	E	06/24/20 10:57:00 PM	MGP	06/25/20 07:21:00 AM	26.134	75.104	11.8	26.965	68.686	942.1
IMC31_162_2C51_S25	IMC 31	Iquitos	S	162	2-C-5-1	2C	control	E	E	06/25/20 12:22:00 AM	MGP	06/25/20 09:13:00 AM	24.702	85.653	3.9	28.742	68.138	2203.5
IMC60_056_1B65_S4	IMC 60	Iquitos	R	56	1-B-6-5	1B	control	D	D	06/24/20 11:20:00 PM	NPW	06/25/20 07:46:00 AM	26.231	79.052	11.8	26.793	74.997	965.8
IMC60_137_2B61_S17	IMC 60	Iquitos	R	137	2-B-6-1	2B	treatment	E	E	06/24/20 11:10:00 PM	MGP	06/25/20 07:35:00 AM	26.012	76.669	3.9	26.867	69.306	1139.2
KER1L_027_1A64_S8	KER 1L	Guiana	R	27	1-A-6-4	1A	treatment	E	E	06/24/20 09:57:00 PM	NPW	06/25/20 06:20:00 AM	26.5	66.314	3.9	27.136	68.548	240.5
KER6_006_1A21_S5	KER 6	Guiana	S	6	1-A-2-1	1A	treatment	E	DE	06/24/20 09:10:00 PM	NPW	06/25/20 05:14:00 AM	26.965	67.918	3.9	26.94	76.538	11.8
KER6_070_1C34_S1	KER 6	Guiana	S	70	1-C-3-4	1C	treatment	D	E	06/25/20 12:05:00 AM	NPW	06/25/20 08:59:00 AM	24.895	82.366	NA	26.329	79.231	NA
KER6_094_2A25_S24	KER 6	Guiana	S	94	2-A-2-5	2A	control	DE	DE	06/24/20 09:17:00 PM	MGP	06/25/20 05:24:00 AM	25.647	75.993	11.8	25.574	76.614	11.8
KER6_153_2C32_S19	KER 6	Guiana	S	153	2-C-3-2	2C	control	E	E	06/25/20 12:02:00 AM	MGP	06/25/20 08:57:00 AM	24.823	85.54	3.9	28.543	70.007	1888.2
NA246_009_1A24_S7	NA 246	Maranon	R	9	1-A-2-4	1A	treatment	E	E	06/24/20 09:15:00 PM	NPW	06/25/20 05:21:00 AM	26.965	69.869	11.8	26.94	74.238	3.9
NA246_028_1A65_S9	NA 246	Maranon	R	28	1-A-6-5	1A	treatment	E	E	06/24/20 10:00:00 PM	NPW	06/25/20 06:24:00 AM	26.549	66.466	11.8	27.161	71.637	279.9
NA246_037_1B31_S1	NA 246	Maranon	R	37	1-B-3-1	1B	control	DE	DE	06/24/20 10:32:00 PM	NPW	06/25/20 06:54:00 AM	26.475	78.79	11.8	26.94	75.389	547.9
NA246_049_1B53_S13	NA 246	Maranon	R	49	1-B-5-3	1B	control	DE	DE	06/24/20 11:02:00 PM	NPW	06/25/20 07:27:00 AM	26.085	78.133	11.8	26.842	74.315	768.7
NA246_066_1C25_S14	NA 246	Maranon	R	66	1-C-2-5	1C	treatment	DE	DE	06/24/20 11:57:00 PM	NPW	06/25/20 08:53:00 AM	24.919	82.257	NA	26.353	79.004	NA
NA246_091_2A22_S22	NA 246	Maranon	R	91	2-A-2-2	2A	control	E	E	06/24/20 09:12:00 PM	MGP	06/25/20 05:17:00 AM	25.671	76.003	11.8	25.598	76.643	11.8
NA246_109_2A61_S21	NA 246	Maranon	R	109	2-A-6-1	2A	control	D	D	06/24/20 09:55:00 PM	MGP	06/25/20 06:17:00 AM	25.428	78.346	11.8	25.72	76.895	145.8
NA246_134_2B53_S29	NA 246	Maranon	R	134	2-B-5-3	2B	treatment	E	E	06/24/20 11:02:00 PM	MGP	06/25/20 07:27:00 AM	26.109	77.407	11.8	27.014	71.016	1020.9
NA246_147_2C21_S26	NA 246	Maranon	R	147	2-C-2-1	2C	control	E	E	06/24/20 11:47:00 PM	MGP	06/25/20 08:45:00 AM	24.847	85.518	11.8	28.221	74.074	1746.3
NA33_004_1A14_S3	NA 33	Nanay	S	4	1-A-1-4	1A	treatment	E	E	06/24/20 09:05:00 PM	NPW	06/25/20 05:07:00 AM	26.94	68.762	3.9	26.818	75.884	11.8
NA33_083_1C63_S14	NA 33	Nanay	S	83	1-C-6-3	1C	treatment	E	E	06/25/20 12:37:00 AM	NPW	06/25/20 09:25:00 AM	24.702	83.401	NA	26.646	79.123	NA
NA33_086_2A12_S18	NA 33	Nanay	S	86	2-A-1-2	2A	control	E	E	06/24/20 09:02:00 PM	MGP	06/25/20 05:03:00 AM	25.744	75.915	11.8	25.477	75.244	11.8
NA33_093_2A24_S23	NA 33	Nanay	S	93	2-A-2-4	2A	control	D	E	06/24/20 09:15:00 PM	MGP	06/25/20 05:21:00 AM	25.671	76.075	11.8	25.574	76.852	11.8
NA33_167_2C63_S30	NA 33	Nanay	S	167	2-C-6-3	2C	control	E	E	06/25/20 12:35:00 AM	MGP	06/25/20 09:23:00 AM	24.629	84.175	3.9	29.165	67.573	2526.7
NA34_001_1A11_S1	NA 34	Nanay	S	1	1-A-1-1	1A	treatment	D	D	06/24/20 09:00:00 PM	NPW	06/25/20 05:00:00 AM	26.916	68.19	11.8	26.793	72.572	3.9
NA34_078_1C53_S9	NA 34	Nanay	S	78	1-C-5-3	1C	treatment	DE	DE	06/25/20 12:25:00 AM	NPW	06/25/20 09:15:00 AM	24.823	83.088	NA	26.5	79.266	NA
NA34_081_1C61_S12	NA 34	Nanay	S	81	1-C-6-1	1C	treatment	D	D	06/25/20 12:32:00 AM	NPW	06/25/20 09:21:00 AM	24.75	83.298	NA	26.598	79.171	NA
NA34_089_2A15_S20	NA 34	Nanay	S	89	2-A-1-5	2A	control	DE	DE	06/24/20 09:07:00 PM	MGP	06/25/20 05:10:00 AM	25.695	75.701	11.8	25.55	75.725	11.8
NA34_169_2C65_S32	NA 34	Nanay	S	169	2-C-6-5	2C	control	E	E	06/25/20 12:40:00 AM	MGP	06/25/20 09:27:00 AM	24.653	85.95	3.9	29.34	66.413	2629.2
NA70_035_1B23_S15	NA 70	Nanay	S	35	1-B-2-3	1B	control	DE	DE	06/24/20 10:27:00 PM	NPW	06/25/20 06:48:00 AM	26.5	78.848	11.8	26.867	75.047	500.6
NA70_038_1B32_S2	NA 70	Nanay	S	38	1-B-3-2	1B	control	D	D	06/24/20 10:35:00 PM	NPW	06/25/20 06:57:00 AM	26.475	78.988	11.8	26.965	75.81	563.7
NA70_059_1C13_S7	NA 70	Nanay	S	59	1-C-1-3	1C	treatment	E	E	06/24/20 11:40:00 PM	NPW	06/25/20 08:39:00 AM	24.944	82.149	NA	26.036	79.603	NA
NA70_125_2B34_S20	NA 70	Nanay	S	125	2-B-3-4	2B	treatment	DE	DE	06/24/20 10:40:00 PM	MGP	06/25/20 07:02:00 AM	26.109	76.055	11.8	26.598	68.155	745
NA70_144_2C13_S23	NA 70	Nanay	S	144	2-C-1-3	2C	control	D	E	06/24/20 11:40:00 PM	MGP	06/25/20 08:39:00 AM	24.798	83.761	11.8	27.85	75.51	1675.3
NA710_005_1A15_S4	NA 7/10	Nanay	R	5	1-A-1-5	1A	treatment	DE	DE	06/24/20 09:07:00 PM	NPW	06/25/20 05:10:00 AM	26.965	69.098	11.8	26.891	74.449	11.8
NA710_013_1A33_S11	NA 7/10	Nanay	R	13	1-A-3-3	1A	treatment	E	E	06/24/20 09:25:00 PM	NPW	06/25/20 05:35:00 AM	26.916	70.604	11.8	26.965	72.449	11.8
NA710_046_1B45_S10	NA 7/10	Nanay	R	46	1-B-4-5	1B	control	D	D	06/24/20 10:55:00 PM	NPW	06/25/20 07:19:00 AM	26.134	79.676	11.8	27.112	76.387	705.6
NA710_053_1B62_S1	NA 7/10	Nanay	R	53	1-B-6-2	1B	control	D	D	06/24/20 11:12:00 PM	NPW	06/25/20 07:38:00 AM	26.085	81.237	11.8	26.378	72.814	855.4
NA710_085_2A11_S17	NA 7/10	Nanay	R	85	2-A-1-1	2A	control	E	E	06/24/20 09:00:00 PM	MGP	06/25/20 05:00:00 AM	25.768	75.774	11.8	25.477	75.293	11.8
NA710_097_2A33_S26	NA 7/10	Nanay	R	97	2-A-3-3	2A	control	E	E	06/24/20 09:25:00 PM	MGP	06/25/20 05:35:00 AM	25.598	77.547	11.8	25.55	76.464	11.8
NA710_127_2B41_S22	NA 7/10	Nanay	R	127	2-B-4-1	2B	treatment	DE	DE	06/24/20 10:45:00 PM	MGP	06/25/20 07:08:00 AM	26.109	74.741	3.9	26.695	67.694	792.3
NA710_140_2B64_S20	NA 7/10	Nanay	R	140	2-B-6-4	2B	treatment	E	E	06/24/20 11:17:00 PM	MGP	06/25/20 07:43:00 AM	25.914	75.587	11.8	27.063	70.283	1265.3
NA807_007_1A22_S6	NA 807	Nanay	S	7	1-A-2-2	1A	treatment	E	E	06/24/20 09:12:00 PM	NPW	06/25/20 05:17:00 AM	26.965	69.934	11.8	26.94	73.977	11.8
NA807_052_1B61_S16	NA 807	Nanay	S	52	1-B-6-1	1B	control	E	DE	06/24/20 11:10:00 PM	NPW	06/25/20 07:35:00 AM	26.085	80.593	11.8	26.378	71.671	823.9
NA807_054_1B63_S2	NA 807	Nanay	S	54	1-B-6-3	1B	control	E	E	06/24/20 11:15:00 PM	NPW	06/25/20 07:41:00 AM	26.109	79.642	11.8	26.5	75.238	879
NA807_062_1C21_S10	NA 807	Nanay	S	62	1-C-2-1	1C	treatment	D	D	06/24/20 11:47:00 PM	NPW	06/25/20 08:45:00 AM	24.968	82.183	NA	26.256	79.187	NA
NA807_139_2B63_S19	NA 807	Nanay	S	139	2-B-6-3	2B	treatment	D	E	06/24/20 11:15:00 PM	MGP	06/25/20 07:41:00 AM	25.914	75.055	3.9	26.965	69.995	1241.7
NA807_141_2B65_S32	NA 807	Nanay	S	141	2-B-6-5	2B	treatment	DE	DE	06/24/20 11:20:00 PM	MGP	06/25/20 07:46:00 AM	25.963	76.221	3.9	27.235	70.73	1328.4
NA807_151_2C25_S30	NA 807	Nanay	S	151	2-C-2-5	2C	control	DE	DE	06/24/20 11:57:00 PM	MGP	06/25/20 08:53:00 AM	24.798	83.309	11.8	28.518	71.356	1833
OYA2B_033_1B21_S13	OYA 2B	Guiana	R	33	1-B-2-1	1B	control	E	E	06/24/20 10:22:00 PM	NPW	06/25/20 06:43:00 AM	26.475	78.935	11.8	26.818	76.504	461.2
OYA2B_068_1C32_S15	OYA 2B	Guiana	R	68	1-C-3-2	1C	treatment	E	E	06/25/20 12:00:00 AM	NPW	06/25/20 08:55:00 AM	24.919	82.456	NA	26.329	78.855	NA
OYA2B_102_2A43_S30	OYA 2B	Guiana	R	102	2-A-4-3	2A	control	E	E	06/24/20 09:37:00 PM	MGP	06/25/20 05:52:00 AM	25.55	78.38	11.8	25.55	76.677	43.4
OYA2B_121_2B25_S32	OYA 2B	Guiana	R	121	2-B-2-5	2B	treatment	DE	E	06/24/20 10:30:00 PM	MGP	06/25/20 06:51:00 AM	26.085	74.03	3.9	26.402	68.542	650.4
OYA2B_155_2C34_S32	OYA 2B	Guiana	R	155	2-C-3-4	2C	control	DE	DE	06/25/20 12:07:00 AM	MGP	06/25/20 09:01:00 AM	24.871	84.539	11.8	28.568	69.529	1943.3
PA107_019_1A45_S1	PA 107	Maranon	S	19	1-A-4-5	1A	treatment	E	E	06/24/20 09:40:00 PM	NPW	06/25/20 05:56:00 AM	26.842	70.434	3.9	27.014	70.694	59.1
PA107_030_1B13_S10	PA 107	Maranon	S	30	1-B-1-3	1B	control	E	E	06/24/20 10:15:00 PM	NPW	06/25/20 06:35:00 AM	26.426	78.317	11.8	26.818	76.611	398.1
PA107_061_1C15_S9	PA 107	Maranon	S	61	1-C-1-5	1C	treatment	E	E	06/24/20 11:45:00 PM	NPW	06/25/20 08:43:00 AM	24.944	82.234	NA	26.182	79.2	NA
PA107_065_1C24_S13	PA 107	Maranon	S	65	1-C-2-4	1C	treatment	DE	DE	06/24/20 11:55:00 PM	NPW	06/25/20 08:51:00 AM	24.944	82.206	NA	26.353	78.831	NA
PA107_100_2A41_S17	PA 107	Maranon	S	100	2-A-4-1	2A	control	E	E	06/24/20 09:32:00 PM	MGP	06/25/20 05:45:00 AM	25.623	78.391	82.8	25.501	76.677	27.6
PA107_116_2B13_S28	PA 107	Maranon	S	116	2-B-1-3	2B	treatment	E	E	06/24/20 10:20:00 PM	MGP	06/25/20 06:40:00 AM	26.061	75.289	11.8	26.28	69.332	547.9
PA107_129_2B43_S24	PA 107	Maranon	S	129	2-B-4-3	2B	treatment	E	E	06/24/20 10:50:00 PM	MGP	06/25/20 07:13:00 AM	26.109	75.714	11.8	26.769	67.863	863.3
PA107_142_2C11_S21	PA 107	Maranon	S	142	2-C-1-1	2C	control	E	E	06/24/20 11:35:00 PM	MGP	06/25/20 08:35:00 AM	24.726	83.01	11.8	27.579	74.512	1635.9
PA107_148_2C22_S27	PA 107	Maranon	S	148	2-C-2-2	2C	control	E	E	06/24/20 11:50:00 PM	MGP	06/25/20 08:47:00 AM	24.847	83.998	11.8	28.32	71.199	1769.9
PA13_073_1C42_S4	PA 13	Maranon	R	73	1-C-4-2	1C	treatment	D	D	06/25/20 12:12:00 AM	NPW	06/25/20 09:05:00 AM	24.871	82.758	NA	26.353	79.091	NA
PA16_011_1A31_S9	PA 16	Maranon	R	11	1-A-3-1	1A	treatment	DE	DE	06/24/20 09:20:00 PM	NPW	06/25/20 05:28:00 AM	26.94	71.768	3.9	26.916	75.664	11.8
PA16_021_1A53_S3	PA 16	Maranon	R	21	1-A-5-3	1A	treatment	DE	DE	06/24/20 09:45:00 PM	NPW	06/25/20 06:03:00 AM	26.598	72.159	11.8	26.965	68.508	82.8
PA16_039_1B33_S3	PA 16	Maranon	R	39	1-B-3-3	1B	control	E	E	06/24/20 10:37:00 PM	NPW	06/25/20 06:59:00 AM	26.451	79.19	11.8	26.989	74.997	579.5
PA16_041_1B35_S5	PA 16	Maranon	R	41	1-B-3-5	1B	control	E	E	06/24/20 10:42:00 PM	NPW	06/25/20 07:05:00 AM	26.426	79.012	11.8	27.038	75.776	618.9
PA16_057_1C11_S5	PA 16	Maranon	R	57	1-C-1-1	1C	treatment	E	E	06/24/20 11:35:00 PM	NPW	06/25/20 08:35:00 AM	24.944	82.035	NA	25.866	79.308	NA
PA16_099_2A35_S28	PA 16	Maranon	R	99	2-A-3-5	2A	control	DE	DE	06/24/20 09:30:00 PM	MGP	06/25/20 05:42:00 AM	25.623	78.165	201	25.525	76.682	19.7
