Library_ID	Genotype	Gen_Group	Phenotype	Serial_Number	Bench_Position	Bench	Treatment	Leaf1_Stage	Leaf2_Stage	Inoc_Time	Worker	Date_Time	Inoc_temp_C	Inoc_RH_perc	Inoc_light_lux	Collect_temp_C	Collect_RH_perc	Collect_light_lux
PINA_040_1B34_S4	PINA	Guiana	R	40	1-B-3-4	1B	control	DE	DE	06/24/20 10:40:00 PM	NPW	06/25/20 07:02:00 AM	26.426	79.768	11.8	27.014	75.947	603.1
PINA_055_1B64_S3	PINA	Guiana	R	55	1-B-6-4	1B	control	D	D	06/24/20 11:17:00 PM	NPW	06/25/20 07:43:00 AM	26.158	79.613	11.8	26.622	75.527	910.6
PINA_060_1C14_S8	PINA	Guiana	R	60	1-C-1-4	1C	treatment	E	E	06/24/20 11:42:00 PM	NPW	06/25/20 08:41:00 AM	24.944	82.263	NA	26.109	79.416	NA
PINA_072_1C41_S3	PINA	Guiana	R	72	1-C-4-1	1C	treatment	D	D	06/25/20 12:10:00 AM	NPW	06/25/20 09:03:00 AM	24.895	82.707	NA	26.353	79.12	NA
PINA_113_2A65_S25	PINA	Guiana	R	113	2-A-6-5	2A	control	D	E	06/24/20 10:05:00 PM	MGP	06/25/20 06:31:00 AM	25.428	77.812	3.9	25.841	77.385	208.9
PINA_123_2B32_S18	PINA	Guiana	R	123	2-B-3-2	2B	treatment	D	D	06/24/20 10:35:00 PM	MGP	06/25/20 06:57:00 AM	26.085	74.966	3.9	26.475	68.048	705.6
PINA_138_2B62_S18	PINA	Guiana	R	138	2-B-6-2	2B	treatment	E	E	06/24/20 11:12:00 PM	MGP	06/25/20 07:38:00 AM	25.939	75.758	11.8	26.867	69.616	1194.4
PINA_143_2C12_S22	PINA	Guiana	R	143	2-C-1-2	2C	control	E	E	06/24/20 11:37:00 PM	MGP	06/25/20 08:37:00 AM	24.774	84.208	11.8	27.702	78.09	1659.5
PINA_161_2C45_S24	PINA	Guiana	R	161	2-C-4-5	2C	control	DE	DE	06/25/20 12:20:00 AM	MGP	06/25/20 09:11:00 AM	24.75	85.552	11.8	28.692	69.189	2164.1
Pound7_026_1A63_S7	Pound 7	Nanay	R	26	1-A-6-3	1A	treatment	E	E	06/24/20 09:55:00 PM	NPW	06/25/20 06:17:00 AM	26.475	69.878	3.9	27.087	66.972	224.7
Pound7_045_1B44_S9	Pound 7	Nanay	R	45	1-B-4-4	1B	control	E	E	06/24/20 10:52:00 PM	NPW	06/25/20 07:16:00 AM	26.158	78.804	11.8	27.087	76.265	681.9
Pound7_048_1B52_S12	Pound 7	Nanay	R	48	1-B-5-2	1B	control	E	E	06/24/20 11:00:00 PM	NPW	06/25/20 07:24:00 AM	26.085	80.42	11.8	27.038	73.914	737.1
Pound7_064_1C23_S12	Pound 7	Nanay	R	64	1-C-2-3	1C	treatment	E	E	06/24/20 11:52:00 PM	NPW	06/25/20 08:49:00 AM	24.968	82.097	NA	26.329	78.97	NA
Pound7_075_1C44_S6	Pound 7	Nanay	R	75	1-C-4-4	1C	treatment	E	E	06/25/20 12:17:00 AM	NPW	06/25/20 09:09:00 AM	24.823	82.889	NA	26.402	79.246	NA
Pound7_111_2A63_S23	Pound 7	Nanay	R	111	2-A-6-3	2A	control	D	D	06/24/20 10:00:00 PM	MGP	06/25/20 06:24:00 AM	25.453	77.754	11.8	25.817	76.949	177.4
Pound7_119_2B23_S30	Pound 7	Nanay	R	119	2-B-2-3	2B	treatment	E	E	06/24/20 10:25:00 PM	MGP	06/25/20 06:46:00 AM	26.085	74.501	3.9	26.329	68.499	603.1
Pound7_128_2B42_S23	Pound 7	Nanay	R	128	2-B-4-2	2B	treatment	D	D	06/24/20 10:47:00 PM	MGP	06/25/20 07:10:00 AM	26.134	74.526	3.9	26.72	67.85	816
Pound7_135_2B54_S30	Pound 7	Nanay	R	135	2-B-5-4	2B	treatment	E	E	06/24/20 11:05:00 PM	MGP	06/25/20 07:30:00 AM	26.061	76.202	11.8	26.94	70.238	1052.5
Pound7_149_2C23_S28	Pound 7	Nanay	R	149	2-C-2-3	2C	control	D	E	06/24/20 11:52:00 PM	MGP	06/25/20 08:49:00 AM	24.823	84.049	11.8	28.394	71.872	1785.7
Pound7_158_2C42_S21	Pound 7	Nanay	R	158	2-C-4-2	2C	control	DE	DE	06/25/20 12:12:00 AM	MGP	06/25/20 09:05:00 AM	24.798	84.692	11.8	28.617	69.387	2022.2
SCA6_002_1A12_S2	SCA 6	Contamana	R	2	1-A-1-2	1A	treatment	DE	DE	06/24/20 09:02:00 PM	NPW	06/25/20 05:03:00 AM	26.94	67.858	11.8	26.793	73.904	3.9
SCA6_034_1B22_S14	SCA 6	Contamana	R	34	1-B-2-2	1B	control	DE	DE	06/24/20 10:25:00 PM	NPW	06/25/20 06:46:00 AM	26.475	78.269	11.8	26.842	75.864	484.9
SCA6_071_1C35_S2	SCA 6	Contamana	R	71	1-C-3-5	1C	treatment	E	E	06/25/20 12:07:00 AM	NPW	06/25/20 09:01:00 AM	24.919	82.456	NA	26.329	79.086	NA
SCA6_076_1C45_S7	SCA 6	Contamana	R	76	1-C-4-5	1C	treatment	DE	DE	06/25/20 12:20:00 AM	NPW	06/25/20 09:11:00 AM	24.847	82.923	NA	26.426	79.338	NA
SCA6_088_2A14_S19	SCA 6	Contamana	R	88	2-A-1-4	2A	control	E	E	06/24/20 09:05:00 PM	MGP	06/25/20 05:07:00 AM	25.72	75.998	11.8	25.525	75.541	11.8
SCA6_120_2B24_S31	SCA 6	Contamana	R	120	2-B-2-4	2B	treatment	E	E	06/24/20 10:27:00 PM	MGP	06/25/20 06:48:00 AM	26.085	73.115	11.8	26.353	68.744	626.8
SCA6_152_2C31_S18	SCA 6	Contamana	R	152	2-C-3-1	2C	control	E	E	06/25/20 12:00:00 AM	MGP	06/25/20 08:55:00 AM	24.823	85.147	11.8	28.543	72.468	1856.6
SCA6_157_2C41_S20	SCA 6	Contamana	R	157	2-C-4-1	2C	control	E	E	06/25/20 12:10:00 AM	MGP	06/25/20 09:03:00 AM	24.823	86.352	3.9	28.593	70.468	1967
SPEC541_069_1C33_S16	SPEC 54/1	Iquitos	R	69	1-C-3-3	1C	treatment	E	E	06/25/20 12:02:00 AM	NPW	06/25/20 08:57:00 AM	24.895	82.451	NA	26.329	78.942	NA
SPEC541_096_2A32_S16	SPEC 54/1	Iquitos	R	96	2-A-3-2	2A	control	E	E	06/24/20 09:22:00 PM	MGP	06/25/20 05:31:00 AM	25.598	77.504	43.4	25.574	76.411	11.8
SPEC541_154_2C33_S31	SPEC 54/1	Iquitos	R	154	2-C-3-3	2C	control	E	E	06/25/20 12:05:00 AM	MGP	06/25/20 08:59:00 AM	24.871	84.539	3.9	28.543	69.706	1911.8
